Municipio,obitos_p/Residência
210920 PRESIDENTE JUSCELINO,40
210923 PRESIDENTE MEDICI,20
210927 PRESIDENTE SARNEY,74
210930 PRESIDENTE VARGAS,48
210940 PRIMEIRA CRUZ,35
210945 RAPOSA,131
210950 RIACHAO,115
210955 RIBAMAR FIQUENE,34
210960 ROSARIO,208
210970 SAMBAIBA,25
210975 SANTA FILOMENA DO MARANHAO,19
210980 SANTA HELENA,135
210990 SANTA INES,499
211000 SANTA LUZIA,314
211003 SANTA LUZIA DO PARUA,105
211010 SANTA QUITERIA DO MARANHAO,114
211020 SANTA RITA,165
211023 SANTANA DO MARANHAO,28
211027 SANTO AMARO DO MARANHAO,28
211030 SANTO ANTONIO DOS LOPES,77
211040 SAO BENEDITO DO RIO PRETO,83
211050 SAO BENTO,183
211060 SAO BERNARDO,121
211065 SAO DOMINGOS DO AZEITAO,39
211070 SAO DOMINGOS DO MARANHAO,169
211080 SAO FELIX DE BALSAS,17
211085 SAO FRANCISCO DO BREJAO,44
211090 SAO FRANCISCO DO MARANHAO,54
211100 SAO JOAO BATISTA,108
211102 SAO JOAO DO CARU,38
211105 SAO JOAO DO PARAISO,55
211107 SAO JOAO DO SOTER,76
211110 SAO JOAO DOS PATOS,176
211120 SAO JOSE DE RIBAMAR,827
211125 SAO JOSE DOS BASILIOS,38
211130 SAO LUIS,6141
211140 SAO LUIS GONZAGA DO MARANHAO,97
211150 SAO MATEUS DO MARANHAO,228
211153 SAO PEDRO DA AGUA BRANCA,60
211157 SAO PEDRO DOS CRENTES,11
211160 SAO RAIMUNDO DAS MANGABEIRAS,98
211163 SAO RAIMUNDO DO DOCA BEZERRA,37
211167 SAO ROBERTO,22
211170 SAO VICENTE FERRER,88
211172 SATUBINHA,31
211174 SENADOR ALEXANDRE COSTA,52
211176 SENADOR LA ROCQUE,101
211178 SERRANO DO MARANHAO,44
211180 SITIO NOVO,78
211190 SUCUPIRA DO NORTE,63
211195 SUCUPIRA DO RIACHAO,29
211200 TASSO FRAGOSO,33
211210 TIMBIRAS,147
211220 TIMON,1002
211223 TRIZIDELA DO VALE,115
211227 TUFILANDIA,22
211230 TUNTUM,195
211240 TURIACU,88
211245 TURILANDIA,89
211250 TUTOIA,248
211260 URBANO SANTOS,69
211270 VARGEM GRANDE,225
211280 VIANA,290
211285 VILA NOVA DOS MARTIRIOS,42
211290 VITORIA DO MEARIM,151
211300 VITORINO FREIRE,155
211400 ZE DOCA,263
220005 ACAUA,47
220010 AGRICOLANDIA,47
220020 AGUA BRANCA,115
220025 ALAGOINHA DO PIAUI,47
220027 ALEGRETE DO PIAUI,40
220030 ALTO LONGA,85
220040 ALTOS,274
220045 ALVORADA DO GURGUEIA,18
220050 AMARANTE,120
220060 ANGICAL DO PIAUI,43
220070 ANISIO DE ABREU,40
220080 ANTONIO ALMEIDA,17
220090 AROAZES,36
220095 AROEIRAS DO ITAIM,17
220100 ARRAIAL,28
220105 ASSUNCAO DO PIAUI,32
220110 AVELINO LOPES,69
220115 BAIXA GRANDE DO RIBEIRO,51
220117 BARRA D'ALCANTARA,31
220120 BARRAS,266
220130 BARREIRAS DO PIAUI,17
220140 BARRO DURO,46
220150 BATALHA,143
220155 BELA VISTA DO PIAUI,32
220157 BELEM DO PIAUI,13
220160 BENEDITINOS,52
220170 BERTOLINIA,42
220173 BETANIA DO PIAUI,33
220177 BOA HORA,28
220180 BOCAINA,48
220190 BOM JESUS,101
220191 BOM PRINCIPIO DO PIAUI,34
220192 BONFIM DO PIAUI,26
220194 BOQUEIRAO DO PIAUI,45
220196 BRASILEIRA,32
220198 BREJO DO PIAUI,20
220200 BURITI DOS LOPES,115
220202 BURITI DOS MONTES,41
220205 CABECEIRAS DO PIAUI,56
220207 CAJAZEIRAS DO PIAUI,21
220208 CAJUEIRO DA PRAIA,38
220209 CALDEIRAO GRANDE DO PIAUI,32
220210 CAMPINAS DO PIAUI,42
220211 CAMPO ALEGRE DO FIDALGO,29
220213 CAMPO GRANDE DO PIAUI,31
220217 CAMPO LARGO DO PIAUI,40
220220 CAMPO MAIOR,313
220225 CANAVIEIRA,13
220230 CANTO DO BURITI,112
220240 CAPITAO DE CAMPOS,49
220245 CAPITAO GERVASIO OLIVEIRA,23
220250 CARACOL,48
220253 CARAUBAS DO PIAUI,35
220255 CARIDADE DO PIAUI,31
220260 CASTELO DO PIAUI,126
220265 CAXINGO,25
220270 COCAL,170
220271 COCAL DE TELHA,25
220272 COCAL DOS ALVES,40
220273 COIVARAS,19
220275 COLONIA DO GURGUEIA,36
220277 COLONIA DO PIAUI,49
220280 CONCEICAO DO CANINDE,28
220285 CORONEL JOSE DIAS,17
220290 CORRENTE,116
220300 CRISTALANDIA DO PIAUI,27
220310 CRISTINO CASTRO,46
220320 CURIMATA,56
220323 CURRAIS,18
220325 CURRALINHOS,19
220327 CURRAL NOVO DO PIAUI,16
220330 DEMERVAL LOBAO,94
220335 DIRCEU ARCOVERDE,39
220340 DOM EXPEDITO LOPES,37
220342 DOMINGOS MOURAO,24
220345 DOM INOCENCIO,49
220350 ELESBAO VELOSO,113
220360 ELISEU MARTINS,39
220370 ESPERANTINA,234
220375 FARTURA DO PIAUI,16
220380 FLORES DO PIAUI,43
220385 FLORESTA DO PIAUI,24
220390 FLORIANO,450
220400 FRANCINOPOLIS,28
220410 FRANCISCO AYRES,35
220415 FRANCISCO MACEDO,19
220420 FRANCISCO SANTOS,51
220430 FRONTEIRAS,78
220435 GEMINIANO,45
220440 GILBUES,37
220450 GUADALUPE,71
220455 GUARIBAS,10
220460 HUGO NAPOLEAO,20
220465 ILHA GRANDE,70
220470 INHUMA,90
220480 IPIRANGA DO PIAUI,80
220490 ISAIAS COELHO,51
220500 ITAINOPOLIS,77
220510 ITAUEIRA,51
220515 JACOBINA DO PIAUI,37
220520 JAICOS,121
220525 JARDIM DO MULATO,18
220527 JATOBA DO PIAUI,30
220530 JERUMENHA,29
220535 JOAO COSTA,22
220540 JOAQUIM PIRES,87
220545 JOCA MARQUES,18
220550 JOSE DE FREITAS,222
220551 JUAZEIRO DO PIAUI,16
220552 JULIO BORGES,24
220553 JUREMA,34
220554 LAGOINHA DO PIAUI,16
220555 LAGOA ALEGRE,35
220556 LAGOA DO BARRO DO PIAUI,27
220557 LAGOA DE SAO FRANCISCO,27
220558 LAGOA DO PIAUI,31
220559 LAGOA DO SITIO,23
220560 LANDRI SALES,33
220570 LUIS CORREIA,164
220580 LUZILANDIA,151
220585 MADEIRO,43
220590 MANOEL EMIDIO,21
220595 MARCOLANDIA,40
220600 MARCOS PARENTE,31
220605 MASSAPE DO PIAUI,45
220610 MATIAS OLIMPIO,53
220620 MIGUEL ALVES,165
220630 MIGUEL LEAO,9
220635 MILTON BRANDAO,25
220640 MONSENHOR GIL,75
220650 MONSENHOR HIPOLITO,48
220660 MONTE ALEGRE DO PIAUI,59
220665 MORRO CABECA NO TEMPO,13
220667 MORRO DO CHAPEU DO PIAUI,33
220669 MURICI DOS PORTELAS,28
220670 NAZARE DO PIAUI,54
220672 NAZARIA,49
220675 NOSSA SENHORA DE NAZARE,23
220680 NOSSA SENHORA DOS REMEDIOS,38
220690 NOVO ORIENTE DO PIAUI,54
220695 NOVO SANTO ANTONIO,15
220700 OEIRAS,221
220710 OLHO D'AGUA DO PIAUI,7
220720 PADRE MARCOS,61
220730 PAES LANDIM,24
220735 PAJEU DO PIAUI,20
220740 PALMEIRA DO PIAUI,21
220750 PALMEIRAIS,66
220755 PAQUETA,21
220760 PARNAGUA,52
220770 PARNAIBA,1015
220775 PASSAGEM FRANCA DO PIAUI,17
220777 PATOS DO PIAUI,40
220779 PAU D'ARCO DO PIAUI,19
220780 PAULISTANA,126
220785 PAVUSSU,20
220790 PEDRO II,234
220793 PEDRO LAURENTINO,11
220795 NOVA SANTA RITA,25
220800 PICOS,515
220810 PIMENTEIRAS,67
220820 PIO IX,102
220830 PIRACURUCA,190
220840 PIRIPIRI,425
220850 PORTO,59
220855 PORTO ALEGRE DO PIAUI,11
220860 PRATA DO PIAUI,22
220865 QUEIMADA NOVA,56
220870 REDENCAO DO GURGUEIA,40
220880 REGENERACAO,129
220885 RIACHO FRIO,22
220887 RIBEIRA DO PIAUI,15
220890 RIBEIRO GONCALVES,30
220900 RIO GRANDE DO PIAUI,42
220910 SANTA CRUZ DO PIAUI,46
220915 SANTA CRUZ DOS MILAGRES,23
220920 SANTA FILOMENA,30
220930 SANTA LUZ,35
220935 SANTANA DO PIAUI,44
220937 SANTA ROSA DO PIAUI,25
220940 SANTO ANTONIO DE LISBOA,41
220945 SANTO ANTONIO DOS MILAGRES,9
220950 SANTO INACIO DO PIAUI,24
220955 SAO BRAZ DO PIAUI,29
220960 SAO FELIX DO PIAUI,18
220965 SAO FRANCISCO DE ASSIS DO PIAUI,41
220970 SAO FRANCISCO DO PIAUI,45
220975 SAO GONCALO DO GURGUEIA,12
220980 SAO GONCALO DO PIAUI,16
